NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E4239100001201,千本公園グラウンド,長崎県佐々町羽須和免200,1,,1,1,1,1,1,,,33.2329962695546,129.655260602486,
2,E4239100002201,神田公園グラウンド,長崎県佐々町皆瀬免1185-1,1,,1,1,1,1,1,,,33.261603,129.675363,
3,E4239100005201,北部グラウンド,長崎県佐々町市瀬免350-9,1,,1,1,1,1,1,,,33.261690205674,129.659841267852,
4,E4239100007201,サン・ビレッジさざ,長崎県佐々町小浦免41-3,,1,1,1,1,1,1,,,33.222035,129.640699,
5,E4239100010201,口石小学校グラウンド,長崎県佐々町須崎免389,1,1,1,1,1,1,1,,1,33.22787295,129.6493666,
6,E4239100011201,佐々小学校グラウンド,長崎県佐々町中川原免111-1,,,1,1,1,1,1,,1,33.25015,129.658241,
7,E4239100013201,佐々中学校グラウンド,長崎県佐々町本田原免111,,,1,1,1,1,1,,1,33.2395,129.652394,
