NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E4239100003111,南部地区体育館,長崎県佐々町口石免1336-1,,,,33.223557,129.653782,
2,E4239100004111,佐々町総合福祉センター,長崎県佐々町市場免23-1,,,,33.233716,129.647682,
3,E4239100006111,クリーンセンター,長崎県佐々町小浦免1163-20,,,,33.210686,129.650257,
4,E4239100008111,第２保育所,長崎県佐々町小浦免746,,,,33.221681,129.650112,
5,E4239100009111,北部地区体育館,長崎県佐々町神田免21-12,,,,33.258947,129.665825,
6,E4239100010111,口石小学校校舎・体育館,長崎県佐々町須崎免389,1,,,33.227703,129.650082,
7,E4239100011111,佐々小学校校舎・体育館,長崎県佐々町中川原免111-1,1,,,33.25029,129.657747,
8,E4239100012111,佐々町農業体験施設,長崎県佐々町平野免220,,,,33.237153,129.667752,
9,E4239100013111,佐々中学校校舎・体育館,長崎県佐々町本田原免111,1,,,33.240473,129.652314,
10,E4239100014111,佐々町地域交流センター,長崎県佐々町本田原免123,,,,33.23832,129.652218,
11,E4239100014112,佐々町民体育館,長崎県佐々町本田原免123,,,,33.238697,129.652185,
12,E4239100014113,佐々町公民館,長崎県佐々町本田原免123,,,,33.238418,129.651906,
13,E4239100015111,佐々町文化会館,長崎県佐々町本田原免146,,,,33.238508,129.651018,
